Questão ,Tipo,Área,Subtema,Enunciado,Possui figura?,Situação
Questão 12,Componente Específico ,,,"QUESTÃO 12	
A Lei Geral de Proteção de Dados Pessoais (LGPD) está em vigência desde o final de 2018 e tem por 
objetivo regulamentar o tratamento de dados pessoais de clientes e usuários de empresas públicas 
e privadas. 
Sobre a LGPD, avalie as afirmações a seguir.
I.	 A lei reprime o uso indiscriminado de dados pessoais considerados sensíveis, como origem racial 
ou étnica, convicção religiosa e opinião política, informados em cadastros pelos cidadãos.
II.	 Os dados anonimizados não serão considerados pessoais, mesmo que, utilizando-se de recursos 
próprios ou tecnológicos avançados, o processo de anonimização possa ser revertido.
III.	 O indivíduo poderá exigir que uma empresa informe se possui dados pessoais dele bem como 
solicitar formalmente que eles sejam corrigidos, atualizados ou eliminados.
IV.	 A Autoridade Nacional de Proteção de Dados (ANPD) é responsável pela fiscalização e regulação 
da LGPD, prestando esclarecimentos, averiguando possíveis denúncias e modificando a legislação 
pertinente quando necessário.
É correto apenas o que se afirma em
A	 I e II.
B	 I e III.
C	 II e IV.
D	 I, III e IV.
E	 II, III e IV.
",Não,Em resolução pelas LLMs
Questão 13,Componente Específico ,,,"QUESTÃO 13	
O desenvolvimento de sistemas iterativo e evolutivo é uma abordagem que estabelece ciclos de 
desenvolvimento, com duração fixa, chamados iterações. O produto de cada iteração é um sistema parcial, 
executável, testável e integrável. Cada iteração inclui suas próprias atividades de análises de requisitos, 
projeto, implementação e teste. O ciclo de vida iterativo é baseado em refinamentos e incrementos 
sucessivos de um sistema por meio de múltiplas iterações, com realimentação e adaptação cíclicas como 
principais propulsores para convergir para um sistema adequado.
CRAIG, L. Utilizando UML e Padrões: Uma Introdução à Análise e ao Projeto Orientados a Objetos. 3. ed. 
Porto Alegre: Bookman, 2007 (adaptado).
Considerando o texto apresentado, assinale a opção correta sobre o desenvolvimento iterativo e evolutivo.
A	 A mudança nos requisitos do sistema é algo que gera atraso no desenvolvimento, por isso é 
aconselhável evitá-la.
B	 O ciclo de desenvolvimento possui duração fixa, porém, durante o desenvolvimento, poderá ser 
alterado no caso de sistemas críticos.
C	 O teste de usabilidade deve ser realizado no último ciclo, pois será o momento em que o usuário 
consegue testar todas as funcionalidades.
D	 O subsistema gerado pela implementação dos requisitos no fim de uma iteração poderá ser utilizado 
pelo cliente como protótipo.
E	 O documento de teste de usabilidade deve contemplar os critérios de acessibilidade para atender a 
todos os usuários do sistema.",Não,Em resolução pelas LLMs
Questão 14,Componente Específico ,,,"QUESTÃO 14	
O primeiro computador criado foi o ENIAC (Electronic Numerical Integrator And Computer), desenvolvido 
por Eckert e Mauchly na Universidade da Pennsylvania, Estados Unidos. O projeto iniciou-se em 1943, 
financiado pelo governo americano. O período era da Segunda Guerra Mundial e o objetivo era poder 
calcular de forma mais ágil as melhores trajetórias para transporte de armas e mantimentos em meio aos 
exércitos inimigos. Esse é o tipo de cálculo que pequenos aparelhos celulares fazem hoje para encontrar 
rotas nas cidades por meio de GPS (Global Positioning System) e análise de mapa. O projeto só foi concluído 
em 1946, tarde demais para ser utilizado para a Segunda Guerra, mas foi bastante utilizado até 1955.
Muitos projetos surgiram depois do ENIAC, mas eles eram barrados por algumas dificuldades e limitações, 
como por exemplo, o fato de não serem programados e trabalharem com números decimais. O problema 
de trabalhar com decimais é que cada algarismo armazenado possui 10 estados possíveis, representando os 
números de 0 a 9. Dentro de um sistema eletrônico, isso é complicado por que a carga de cada dispositivo, 
seja transistor, seja válvula, deveria ser medida para se verificar que número ela estava representando. 
Os erros eram muito frequentes. Bastava que uma válvula estivesse fora da temperatura ideal para que 
os resultados das operações começassem a sair errado. Von Neumann recomendou, então, que, em sua 
arquitetura, os dados e instruções passasem a ser armazenados em código binário, facilitando a análise 
dos mesmos e reduzindo a quantidade de erros.
BRITO, A. V. Introdução a Arquitetura de Computadores. UFPB Virtual, 2020. Disponível em: http://producao.virtual.ufpb.br/. 
Acesso em: 05 maio 2020 (adaptado).
Acerca da arquitetura de Von Neumann, avalie as asserções a seguir e a relação proposta entre elas.
I.	 Embora as arquiteturas de computadores tenham evoluído muito do ENIAC aos modernos 
notebooks de hoje, a arquitetura de Von Neumann, conceito da década de 1950, tem se mantido 
até os dias atuais.
PORQUE
II.	 A arquitetura de Von Neumann permite que a CPU realize a busca de uma ou mais instruções além da 
próxima a ser executada; essa técnica é utilizada para acelerar a velocidade de operação da CPU, 
uma vez que a próxima instrução a ser executada está normalmente armazenada nos registradores 
da CPU e não precisa ser buscada da memória principal, que é muito mais lenta.
A respeito dessas asserções, assinale a opção correta.
A	 As asserções I e II são proposições verdadeiras, e a II é uma justificativa correta da I.
B	 As asserções I e II são proposições verdadeiras, mas a II não é uma justificativa correta da I.
C	
D	 A asserção I é uma proposição falsa, e a II é uma proposição verdadeira.
E	 As asserções I e II são proposições falsas.
A asserção I é uma proposição verdadeira, e a II é uma proposição falsa.",Não,Em resolução pelas LLMs
Questão 15,Componente Específico ,,,"QUESTÃO 15	
O surgimento das metodologias ágeis eliminou o gerenciamento baseado em planos, substituindo-o 
pelo planejamento incremental. A documentação de projeto foi reduzida ao mínimo e deixou de ser 
previsto um gerente de projeto. Infelizmente, esse tipo de abordagem não atende as necessidades das 
organizações, em que gerentes de negócio necessitam acompanhar o andamento dos projetos, controlar 
orçamento, estabelecer prioridades e atualizar seus planos de negócio. Nesse contexto, foi desenvolvido 
o SCRUM, um framework para a organização de projetos ágeis. O SCRUM prevê dois indivíduos: o 
Scrum Master e o Product Owner, que são responsáveis por atuar como interface entre a equipe de 
desenvolvimento e a organização.
SOMMERVILLE, I. Engineering Software Products: An Introduction to Modern Software Engineering. Boston: Pearson, 2019 (adaptado).
Em relação à metodologia SCRUM, avalie as afirmações a seguir.
I.	 O papel do Scrum Master é guiar a equipe no uso efetivo da metodologia SCRUM.
II.	 O papel do Product Owner é garantir o foco no produto, evitando que o mesmo se perca em 
questões técnicas menos relevantes.
III.	 Tanto o Scrum Master como o Product Owner têm autoridade direta sobre a equipe.
É correto o que se afirma em
A	 II, apenas.
B	 III, apenas.
C	 I e II, apenas.
D	 I e III, apenas.
E	 I, II e III.",Não,Em resolução pelas LLMs
Questão 16,Componente Específico ,,,"QUESTÃO 16
[FIGURA NO CADERNO ORIGINAL: portas lógicas e circuito combinacional]	
Em 1938, o matemático americano Claude Shannon notou o paralelismo entre a lógica proposicional e 
a lógica dos circuitos e percebeu que a álgebra booleana teria um papel importante na sistematização 
deste ramo da eletrônica. Cada um dos conetivos básicos da lógica são instâncias das operações básicas 
da álgebra booleana (“+”, “.” e ” ’ ”). Expressões booleanas combinando operações e variáveis podem ser 
usadas para representar circuitos combinacionais formados por portas lógicas.
GERSTING, J. L. Mathematical Structures for Computer Science. New York: W. H. Freeman and Company, 2002.
A figura a seguir apresenta as portas básicas.
Porta “não” (not)
Porta “ou” (or)
Porta “e” (and)
A partir das informações apresentadas, considere o circuito combinacional da figura a seguir. 
X¹
X²
X³
Qual das alternativas apresenta a expressão booleana correspondente?
A	 (X3 . X2’) + X1’
B	 (X3 . (X2’) + (X1’))’
C	 ((X3 . X2)’ + X1’)’
D	 (X3 . X2)’ + X1’
E	 ((X3 . X2’)’ + X1’)’",Sim,Em resolução pelas LLMs
Questão 17,Componente Específico ,,,"QUESTÃO 17
[FIGURA NO CADERNO ORIGINAL: exclusão mútua usando regiões críticas]	
Durante parte do tempo, um processo está ocupado realizando computações internas e outras coisas 
que não levam a condições de corrida. No entanto, às vezes, um processo tem de acessar uma memória 
compartilhada ou arquivos, ou realizar outras tarefas críticas que podem levar a corridas. Essa parte do 
programa onde a memória compartilhada é acessada é chamada de região crítica ou seção crítica. Se 
conseguíssemos arranjar as coisas de maneira que dois processos jamais estivessem em suas regiões 
críticas ao mesmo tempo, poderíamos evitar as corridas. Embora essa exigência evite as condições 
de corrida, ela não é suficiente para garantir que processos em paralelo cooperem de modo correto e 
eficiente usando dados compartilhados. Precisamos que quatro condições se mantenham para chegar a 
uma boa solução.
1. Dois processos jamais podem simultaneamente estar dentro de suas regiões críticas.
2. Nenhuma suposição pode ser feita a respeito de velocidades ou de número de CPUs.
3. Nenhum processo executando fora de sua região crítica pode bloquear qualquer processo.
4. Nenhum processo deve ser obrigado a esperar eternamente para entrar em sua região crítica.
Em um sentido abstrato, o comportamento que queremos é mostrado na figura a seguir.
Figura - Exclusão mútua usando regiões críticas
TANENBAUM, A. S. Sistemas Operacionais Modernos. 4. ed. Versão para Biblioteca Virtual Pearson. 
São Paulo: Pearson Education do Brasil, p. 83, 2016 (adaptado).
A entra na região crítica
Processo A
Processo B
T1
T2
T3
T4
B bloqueado

B tenta entrar
na região
crítica
B entra na
região crítica
B deixa a
região crítica
Tempo
A deixa a região crítica
Considerando o texto e a figura apresentados, avalie as asserções a seguir e a relação proposta entre elas.
I.	 Em algumas situações, a exclusão mútua pode ser obtida por meio da desabilitação da interrupção 
controlada pelo Sistema Operacional, não sendo permitido que o seu controle seja feito pelo usuário.
PORQUE
II.	 A desabilitação da interrupção é uma técnica que pode impedir que o processador que está 
executando um processo em sua região crítica seja interrompido para executar outro código, sendo 
mais eficiente em sistemas de multiprocessadores devido a quantidade de processos concorrentes.
A respeito dessas asserções, assinale a opção correta.
A	 As asserções I e II são proposições verdadeiras, e a II é uma justificativa correta da I.
B	 As asserções I e II são proposições verdadeiras, mas a II não é uma justificativa correta da I.
C	 A asserção I é uma proposição verdadeira, e a II é uma proposição falsa.
D	 A asserção I é uma proposição falsa, e a II é uma proposição verdadeira.
E	 As asserções I e II são proposições falsas.",Sim,Em resolução pelas LLMs
Questão 18,Componente Específico ,,,"QUESTÃO 18
As técnicas de aprendizado de máquinas empregam um princípio de inferência denominado indução, 
no qual é possível obter conclusões genéricas a partir de um conjunto particular de exemplos. 
Estas técnicas de aprendizados indutivos podem ser divididas em dois principais tipos: os supervisionados 
e os não supervisionados. No aprendizado supervisionado é fornecida uma referência do objetivo a ser 
alcançado, isto é, um treinamento com o conhecimento do ambiente. Diferentemente do aprendizado 
supervisionado, o não supervisionado não utiliza referências, ou seja, não ocorre um treinamento com o 
conhecimento do ambiente.
PELLUCCI P. R. S. et al. Utilização de técnicas de aprendizado de máquina no reconhecimento de entidades nomeadas no português. 
Belo Horizonte. E-xacta, v. 4, n. 1, p. 73-81, 2011 (adaptado).
Considerando as informações do texto, avalie as afirmações a seguir.
I.	 A regressão linear é um exemplo de modelo baseado no aprendizado supervisionado.
II.	 A diferença entre a saída desejada e a saída gerada é o valor do erro de um aprendizado não 
supervisionado.
III.	 O aprendizado não supervisionado é mais utilizado quando o entendimento dos dados é feito por 
meio de reconhecimento de padrões.
IV.	 O aprendizado supervisionado é capaz de tomar decisões precisas ao receber novos dados a 
partir de um treinamento com dados conhecidos.
É correto apenas o que se afirma em
A	 I e III.
B	 II e III.
C	 II e IV.
D	 I, II e IV.
E	 I, III e IV.",Não,Em resolução pelas LLMs
Questão 19,Componente Específico ,,,"QUESTÃO 19	
Duas técnicas comumente utilizadas para ampliar as informações básicas sobre requisitos são personas 
e cenários. Frequentemente usadas juntas, essas técnicas se complementam de forma a trazer detalhes 
realísticos que possibilitam ao desenvolvedor explorar as atividades atuais do usuário, uso futuro de 
novos produtos e visões futuristas de novas tecnologias. Elas também podem guiar o desenvolvimento 
ao longo do ciclo de vida do produto.
ROGERS, Y.; PREECE, J.; SHARP, H. Interaction Design: beyond human-computer interaction. 
5. ed. Indianapolis, IN, USA: John Wiley & Sons, Inc., 2019 (adaptado).
Com base no texto apresentado e sobre os objetivos do uso de personas e cenários em um processo de 
elicitação de requisitos, avalie as afirmações a seguir.
I.	 O uso de personas e cenários, em um processo de elicitação, explicita algumas situações que 
aparecem implícitas nos requisitos.
II.	 O uso de personas e cenários, em um processo de elicitação, ajuda o projetista a entender melhor 
o impacto das decisões de projeto.
III.	O uso de personas e cenários, em um processo de elicitação, facilita a especificação formal 
e não-ambígua dos requisitos de interação.
IV.	 O uso de personas e cenários, em um processo de elicitação, lembra à equipe de desenvolvimento 
que pessoas reais usarão o produto.
É correto apenas o que se afirma em
A	 I e III.
B	 I e IV.
C	 II e III.
D	 I, II e IV.
E	 II, III e IV.",Não,Em resolução pelas LLMs
Questão 20,Componente Específico ,,,"QUESTÃO 20	
Observe o código abaixo escrito na linguagem C.
#include <stdio.h>
#define TAM 10
int funcaol(int vetor[], int v){
	
int i;
 
for (i = 0; i < TAM; i++){
	
if (vetor[i] == v)
	
	
	
return i;
}
return -1;
}
	11 	 int funcao2(int vetor[], int v, int i, int f){
	
int m = (i + f) / 2;
	
if (v == vetor[m])
	
return m;
if (i >= f)
	
return -1;
if (v > vetor[m])
	
return funcao2(vetor, v, m+l, f);
else
	
return funcao2(vetor, v, i, m-1);
}
int main(){
 
int vetor[TAM] = {1, 3, 5, 7, 9, 11, 13, 15, 17, 19};
 
printf(“%d - %d”, funcao1(vetor, 15), funcao2(vetor, 15, 0, TAM-1));
	
return 0;
}
A respeito das funções implementadas, avalie as afirmações a seguir.
I.	 O resultado da impressão na linha 24 é: 7 - 7.
II.	 A função funcao1, no pior caso, é uma estratégia mais rápida do que a funcao2.
III.	 A função funcao2 implementa uma estratégia iterativa na concepção do algoritmo.
É correto o que se afirma em
A	 I, apenas.
B	 III, apenas.
C	 I e II, apenas.
D	 II e III, apenas.
E	 I, II e III.",Não,Em resolução pelas LLMs
Questão 21,Componente Específico ,,,"QUESTÃO 21
[FIGURAS NO CADERNO ORIGINAL: dispositivos por camada e encapsulamento de quadros/pacotes]	
No projeto de redes de computadores, a escolha racional do dispositivo de conexão a ser utilizado 
é fundamental para o correto funcionamento da rede, bem como para a sua segurança e eficiência. 
Dispositivos como repetidores, hubs, bridges, switches, roteadores e gateways são muito comuns, mas 
diferem entre si em detalhes sutis e não muito sutis. Por existir uma grande quantidade desses dispositivos, 
vale a pena conhecer suas características principais, entender o seu funcionamento e saber quando e como 
são utilizados. A chave para entender esses dispositivos é observar que eles operam em camadas diferentes, 
como ilustra a figura 1. A camada é importante, porque diferentes dispositivos utilizam fragmentos de 
informações diferentes para decidir como realizar a comutação. Em um cenário típico, o usuário gera alguns 
dados a ser enviados para uma máquina remota. Esses dados são repassados à camada de transporte, que 
então acrescenta um cabeçalho (por exemplo, um cabeçalho TCP) e repassa o pacote resultante à camada 
de rede situada abaixo dela. Essa camada adiciona seu próprio cabeçalho para formar um pacote da camada 
de rede (por exemplo, um pacote IP). Na figura 2, vemos o pacote IP sombreado. Em seguida, o pacote vai 
para a camada de enlace de dados, que adiciona seu próprio cabeçalho e seu checksum (CRC) e entrega o 
quadro resultante à camada física para transmissão, digamos, por uma LAN.
TANENBAUM, A. S.; Wetherall, D. Redes de computadores. 5. ed. 
São Paulo: Pearson Prentice Hall, p. 213 e 214, 2011 (adaptado).
Considerando o contexto das informações e da figura apresentadas, assinale a alternativa correta.
A	 Os repetidores não reconhecem quadros ou pacotes, apenas o seu próprio cabeçalho.
B	 Um hub tem várias interfaces de entrada/saída conectadas eletricamente; os quadros que chegam a 
qualquer uma dessas interfaces são enviados a todas as outras e, se dois quadros chegarem ao mesmo 
tempo, eles serão colocados em buffer de espera e arbitragem de enlace.
C	 Uma bridge conecta duas ou mais redes, diferentemente de um hub, cada porta é isolada das demais 
para criar um domínio próprio de colisão; ela só envia o quadro à porta onde ele é necessário, e pode 
encaminhar vários quadros ao mesmo tempo, além de examinar o campo de carga útil (pacotes de 
rede) dos quadros que encaminha, para obter o endereço do destinatário.
D	 Os roteadores examinam os endereços em pacotes e efetuam o roteamento com base nesses 
endereços, de modo que eles só trabalham com os protocolos para os quais foram projetados para 
lidar; nas redes de broadcast, o problema de roteamento é mais complicado e cabe à camada de rede 
operar com algoritmos de roteamento apropriados.
E	 Os gateways de transporte conectam dois computadores que utilizam diferentes protocolos de 
transporte orientados a conexões, por exemplo, um computador que utiliza o protocolo TCP/IP 
orientado a conexões pode se comunicar com um computador que utiliza um protocolo de transporte 
orientado a conexões diferentes, chamado SCTP.
Figura 1 - Dispositivos presentes em cada camada. 
Figura 2 - Quadros, pacotes e cabeçalhos.
Cabeçalho
de quadro
Cabeçalho
TCP
Dados do
usuário
CRC
Cabeçalho
de pacote
Pacote (fornecido pela camada de rede)
Quadro (feito pela camada de enlance de dados)
Gateway de aplicação
Gateway de transporte
Roteador
Bridge, switch
Repetidor, hub
Camada de aplicação
Camada de transporte
Camada de rede
Camada de enlance de dados
Camada física",Sim,Em resolução pelas LLMs
Questão 22,Componente Específico ,,,"QUESTÃO 22
[FIGURA NO CADERNO ORIGINAL: Diagrama Entidade-Relacionamento da ONG]	
Uma Organização Não Governamental (ONG), relacionada à causa animal, registra os pets (animais de 
estimação) amparados por ela, de acordo com o seguinte Diagrama Entidade Relacionamento (DER).
A partir das regras de mapeamento do Modelo Conceitual para o Modelo Lógico Relacional, assinale o 
Esquema Relacional mais adequado a ser gerado. Considere que as chaves primárias estão sublinhadas.
A	 PESSOA(cpf: texto, nome: texto)
	
TIPO_PET(codigo: inteiro, descricao: texto)
	
PET(codigo: inteiro, nome: texto, data_nascimento: data, codigo_tipo_pet: inteiro, adotante: texto) 
	
  codigo_tipo_pet referencia TIPO_PET(codigo)
	
  adotante referencia PESSOA(cpf)
B	 PET(codigo: inteiro, nome: texto, data_nascimento: data)
	
PESSOA(cpf: texto, nome: texto, codigo_pet: inteiro) 
	
  codigo_pet referencia PET(codigo)
	
TIPO_PET(codigo: inteiro, descricao: texto, codigo_pet: inteiro) 
	
  codigo_pet referencia PET(codigo)
C	 TIPO_PET(codigo: inteiro, descricao: texto)
	
PET(codigo: inteiro, nome: texto, data_nascimento: data, codigo_tipo_pet: inteiro)  
	
  codigo_tipo_pet referencia TIPO_PET(codigo)
	
PESSOA(cpf: texto, nome: texto, codigo_pet: inteiro)  
	
  codigo_pet referencia PET(codigo)
D	 PET_PESSOA(codigo_pet: inteiro, nome_pet: texto, data_nascimento: data, cpf: texto, nome_pessoa: 
texto, codigo_tipo_pet: inteiro, descricao_tipo_pet: texto)
E	 PESSOA(cpf: texto, nome: texto)
	
PET(codigo: inteiro, nome: texto, data_nascimento: data, codigo_tipo_pet: inteiro, descricao_tipo_pet, 
	
adotante: texto)  
	
  adotante referencia PESSOA(cpf)
cpf
PESSOA
(1,1)
(0,n)
(1,n)
(1,1)
adotar
codigo
descricao
nome
data_nascimento
codigo
PET
pertencer
TIPO_PET
nome
",Sim,Em resolução pelas LLMs
Questão 23,Componente Específico ,,,"QUESTÃO 23
[FIGURA ILUSTRATIVA NO CADERNO ORIGINAL: exemplo de árvore binária]	
O uso da estrutura de dados tipo Árvore Binária de Busca é uma técnica fundamental de programação. 
Uma árvore binária é um conjunto finito de elementos que está vazio ou é particionado em três 
subconjuntos, a saber: 1) raiz da árvore - elemento inicial (único), 2) subárvore da esquerda - se vista 
isoladamente compõe outra árvore e 3) subárvore da direita - se vista isoladamente compõe outra árvore. 
A árvore pode não ter qualquer elemento (árvore vazia). A definição de árvore é recursiva e, devido a 
isso, muitas operações sobre árvores binárias utilizam recursão. Sendo “A” a raiz de uma árvore binária 
e “B” a raiz de sua subárvore esquerda ou direita, é dito que “A” é pai de “B” e que “B” é filho de “A”. 
Um elemento sem filhos é chamado de folha. A altura da árvore é o número de elementos encontrados 
no caminho descendente mais longo que liga a sua raiz até uma folha. 
Uma Árvore de Busca Binária é uma árvore binária especializada, na qual a informação que o elemento 
filho esquerdo possui é numericamente menor que a informação do elemento pai. De forma análoga, 
a informação que o elemento filho direito possui é numericamente maior ou igual à informação do 
elemento pai. O objetivo de organizar dados em Árvores Binárias de Busca é facilitar a tarefa de encontrar 
um determinado elemento. O percurso completo de uma árvore binária consiste em visitar todos os 
elementos desta árvore, segundo algum critério, a fim de processá-los. Três formas são bem conhecidas 
para a realização deste percurso: 1) pré-ordem, 2) em-ordem e 3) pós-ordem. A figura a seguir mostra um 
exemplo de árvore binária.
J
O
R
L
D
A
K
M
Figura – Exemplo de Árvore Binária
LAUREANO, M. A. P. Estrutura de Dados com Algoritmos. São Paulo: Brasport, 2008. p. 126, 129, 136 (adaptado).
Considerando o texto e a figura apresentados e que a seguinte lista de elementos numéricos: 
(27, 34, 40, 18, 23, 5, 25, 36, 10, 7, -2) seja totalmente transferida para uma estrutura de Árvore Binária de 
Busca, inicialmente vazia, elemento a elemento, da esquerda para a direita, assinale a alternativa correta.
A	A árvore resultante terá 5 níveis de altura, com 6 elementos à esquerda da raiz principal (inicial) 
e 4 elementos à direita.
B	 O percurso da árvore em Pré-ordem irá processar os elementos na seguinte ordem (do primeiro ao 
último): -2, 7, 10, 5, 25, 23, 18, 36, 40, 34, 27.
C	 O percurso da árvore em Em-ordem irá processar os elementos na seguinte ordem (do primeiro ao 
último): -2, 5, 7, 10, 18, 23, 25, 27, 34, 36, 40.
D	 O percurso da árvore em Pós-ordem irá processar os elementos na seguinte ordem (do primeiro ao 
último): 27, 18, 5, -2, 10, 7, 23, 25, 34, 40, 36.
E	 O número máximo de elementos que essa árvore poderá ter com 10 níveis será de 1 024 elementos.
",Sim,Em resolução pelas LLMs
Questão 24,Componente Específico ,,,"QUESTÃO 24	
A criptografia de ponta a ponta do WhatsApp garante que somente você e a pessoa com quem você está 
se comunicando podem ler o que é enviado. Ninguém mais terá acesso a elas, nem mesmo o WhatsApp. 
As suas mensagens estão seguras com cadeados e somente você e a pessoa que as recebe possuem 
as chaves especiais necessárias para abri-los e ler as mensagens. E, para uma proteção ainda maior, 
cada mensagem que você envia tem um cadeado e uma chave únicos.
Disponível em: https://faq.whatsapp.com/pt_br/general/28030015. Acesso em: 05 mai. 2020.
Com base no texto acima e considerando os conceitos de segurança e criptografia, avalie as 
afirmações a seguir.
I.	 Se um par de chaves é gerado durante a instalação do aplicativo e a chave pública do usuário é 
armazenada no servidor, é possível verificar a autenticidade de uma mensagem recebida usando a 
chave pública do remetente obtida do servidor.
II.	 A estratégia de utilizar um vetor de inicialização (IV) variável para compor chaves criptográficas 
diferentes para cada mensagem enviada oculta padrões de dados, além de dificultar os chamados 
ataques de reprodução.
III.	 O uso do algoritmo AES nas comunicações entre dois usuários indica o emprego de criptografia 
simétrica, isto é, aquela que utiliza um par de chaves, uma usada pelo remetente, para encriptar a 
mensagem, e outra para o destinatário decriptá-la.
IV.	 A presença do algoritmo SHA-256, no protocolo de comunicação entre cliente e servidor, 
sugere a verificação de integridade das mensagens, visto que é possível detectar se ocorreu 
alguma modificação comparando-se os valores de hash da mensagem enviada e recebida.
É correto apenas o que se afirma em
A	 I e IV.
B	 II e III.
C	 III e IV.
D	 I, II e III.
E	 I, II e IV.",Não,Em resolução pelas LLMs
Questão 25,Componente Específico ,,,"QUESTÃO 25	
A computação em nuvem (cloud computing) pode ser definida como a infraestrutura de comunicação 
representada por vários servidores web, responsáveis por armazenar dados e aplicações, em que cada 
parte desta infraestrutura é provida como um serviço e estes são normalmente alocados em centros 
de dados, utilizando hardware compartilhado para computação e armazenamento. Segundo o Instituto 
Nacional de Padrões e Tecnologia (NIST), um modelo de Computação em Nuvem deve apresentar 
5 características essenciais, 3 modelos de serviço e 4 modelos de implantação. As características essenciais 
são: self-service sob demanda, acesso à rede ampla, pooling de recursos, elasticidade rápida e serviço 
medido. Os modelos de serviços são: Software como um Serviço (SaaS), Plataforma como um Serviço 
(PaaS) e Infraestrutura como um Serviço (IaaS) e os modelos de implantação são: Nuvem Privada, 
Nuvem Pública, Nuvem Comunidade e Nuvem Híbrida.
Considerando as informações apresentadas, avalie as afirmações a seguir.
I.	 No modelo SaaS, o usuário não precisa adquirir ou realizar upgrade de hardware para rodar as 
aplicações, não administra ou controla a infraestrutura subjacente e as atualizações de software 
são de responsabilidade do provedor do serviço em nuvem.
II.	 A elasticidade é a capacidade de aumentar ou diminuir de forma automática o tempo de 
disponibilidade dos recursos computacionais que foram provisionados contratualmente para 
cada usuário.
III.	 A Nuvem Comunidade tem como objetivo gerenciar os recursos computacionais pertencentes a 
cada uma das organizações participantes de uma comunidade de organizações para compartilhar 
a infraestrutura de software e hardware entre todos.
IV.	 No modelo IaaS, o usuário não administra ou controla a infraestrutura da nuvem, mas tem controle 
sobre os sistemas operacionais, armazenamento e aplicativos implantados.
É correto apenas o que se afirma em
A	 I e II.
B	 I e IV.
C	 II e III.
D	 I, III e IV.
E	 II, III e IV.",Não,Em resolução pelas LLMs
Questão 26,Componente Específico ,,,"QUESTÃO 26	
As interfaces adaptativas realizam as adaptações e personalizações de forma automática e dinâmica 
durante o processo de navegação, com base na aprendizagem da navegação e da interação do usuário. 
Técnicas de interfaces adaptativas podem ser utilizadas para adaptar interfaces às preferências do usuário, 
à sua capacidade cognitiva e ao seu estilo de navegação, tornando as interações mais naturais e atrativas. 
Essas técnicas de adaptação podem ser empregadas tanto para a reorganização dos objetos no ambiente, 
como para alterar a forma de apresentar informações. As adaptações podem ocorrer em diferentes níveis 
ou de diferentes formas: adaptação de conteúdo, adaptação da navegação e adaptação da apresentação 
do conteúdo. Cada um desses níveis de adaptação possui métodos e técnicas de adaptação próprios.
 NIENOW, A. L. Interfaces adaptativas no comércio eletrônico como facilitadoras da inclusão digital de idosos. 
Revista Tecnologia e Tendências, v. 9, n. 2, p. 116-136, 2017 (adaptado).
Considerando a construção de interfaces adaptativas na interação homem-computador, avalie as 
afirmações a seguir quanto aos níveis e técnicas de adaptação.
I.	 No nível de conteúdo, podem-se considerar as técnicas de fragmentos de texto, fragmentos 
condicionais, páginas variantes e abordagem baseada em frames.
II.	 No nível de navegação, podem-se considerar as técnicas de layouts de página e guias de estilos.
III.	 No nível de apresentação, podem-se considerar as técnicas de orientação direta, anotação de links, 
apresentação e ocultação e ordenação de links.
É correto o que se afirma em
A	 I, apenas.
B	 III, apenas.
C	 I e II, apenas.
D	 II e III, apenas.
E	 I, II e III.",Não,Em resolução pelas LLMs
