Questão ,Gabarito INEP,Resposta-base,Situação,Modelo(s)-base,Gabarito comentado final,Revisão humana?,Status
Questão 11,D,Síntese A+C,Regular,Claude + Gemini,"QUESTÃO 11 — Alternativa D
Comentário geral

A questão aborda decisões de projeto em redes neurais profundas para classificação de imagens, considerando dois objetivos simultâneos: aumentar a acurácia e evitar um tempo de treinamento excessivamente alto. O cenário apresentado é de classificação de imagens, o que torna especialmente relevante a escolha da arquitetura da rede, a quantidade de dados de treinamento e a complexidade computacional envolvida.

A afirmativa I está incorreta. Aumentar o número de camadas pode, em determinadas situações, aumentar a capacidade de representação da rede e até melhorar a acurácia. Entretanto, isso normalmente também aumenta a quantidade de operações e parâmetros envolvidos, o que tende a aumentar, e não diminuir, o tempo de treinamento.

A afirmativa II está correta. Redes Neurais Convolucionais, ou CNNs, são particularmente adequadas para classificação de imagens porque exploram padrões espaciais locais, como bordas, formas e características visuais. Essa especialização pode melhorar a acurácia, embora as operações de convolução e arquiteturas mais complexas possam demandar maior capacidade computacional, frequentemente com uso de GPUs.

A afirmativa III está incorreta. Aumentar o número de neurônios por camada aumenta o número de parâmetros que precisam ser ajustados durante o treinamento. Embora isso possa, em alguns casos, favorecer sobreajuste e até prejudicar a generalização, não é correto afirmar que essa alteração diminui o tempo de treinamento; em geral, ocorre o oposto.

A afirmativa IV está correta. O aumento do número de amostras de treinamento pode melhorar a capacidade de generalização da rede e, consequentemente, sua acurácia. Porém, como há mais dados a processar em cada época, o tempo total de treinamento tende a aumentar.

A afirmativa V está incorreta no contexto da questão. Redes recorrentes, como RNNs e LSTMs, são voltadas principalmente para dados sequenciais e temporais, como texto, áudio e séries temporais. Para classificação de imagens estáticas, as CNNs são a arquitetura mais naturalmente indicada.

Portanto, apenas as afirmativas II e IV estão corretas.

Análise das alternativas

A) Incorreta. A afirmativa IV está correta, mas a I não. O erro de I está em afirmar que o aumento do número de camadas diminuiria o tempo de treinamento. Redes mais profundas tendem a exigir mais cálculos durante a propagação direta e o ajuste dos pesos, aumentando o custo computacional.

B) Incorreta. A alternativa reúne I e V. A afirmativa I está errada pela associação inadequada entre maior profundidade e menor tempo de treinamento. A afirmativa V também não é adequada ao problema apresentado, porque redes recorrentes são projetadas principalmente para processamento sequencial, e não constituem a escolha típica para classificação de imagens estáticas.

C) Incorreta. A afirmativa II está correta, mas a III está incorreta. Aumentar o número de neurônios eleva a capacidade do modelo, mas também aumenta a quantidade de parâmetros e operações. Embora uma rede excessivamente grande possa sofrer com sobreajuste, não se pode afirmar que o aumento de neurônios leve simultaneamente à piora da acurácia e à redução do tempo de treinamento.

D) Correta. A afirmativa II identifica adequadamente as CNNs como uma arquitetura apropriada para imagens, capaz de melhorar a acurácia com possível aumento de demanda computacional. A afirmativa IV também está correta porque mais dados de treinamento podem melhorar a generalização, embora aumentem o volume de processamento necessário. Essa é a combinação que melhor atende ao cenário apresentado.

E) Incorreta. A alternativa considera III e V corretas. A afirmativa III erra ao associar mais neurônios à diminuição do tempo de treinamento, enquanto V propõe uma arquitetura que não é a escolha natural para o tipo de dado apresentado. Assim, ambas são inadequadas no contexto da tarefa.",Não,Finalizado
Questão 12,B,A,Regular,Gemini,"QUESTÃO 12 — Alternativa B
Comentário geral

A questão avalia conhecimentos sobre a Lei Geral de Proteção de Dados Pessoais (LGPD), especialmente quanto aos dados pessoais sensíveis, anonimização, direitos do titular e competências da Autoridade Nacional de Proteção de Dados (ANPD).

A afirmativa I está correta. A LGPD estabelece proteção especial para os chamados dados pessoais sensíveis, categoria que inclui informações como origem racial ou étnica, convicção religiosa e opinião política. Por apresentarem maior potencial de discriminação ou violação de direitos do titular, esses dados estão sujeitos a regras mais restritivas de tratamento.

A afirmativa II está incorreta. O simples fato de um dado ter passado por um procedimento de anonimização não significa que ele deixará de ser considerado dado pessoal em qualquer circunstância. Se o processo puder ser revertido mediante meios técnicos razoáveis e disponíveis, a informação pode voltar a permitir a identificação do titular. Portanto, a afirmação erra ao dizer que o dado jamais será considerado pessoal mesmo quando a anonimização puder ser revertida.

A afirmativa III está correta. A LGPD garante ao titular direitos relacionados ao controle de seus dados, entre eles obter confirmação da existência de tratamento, acessar informações e solicitar a correção de dados incompletos ou inexatos e, nas hipóteses previstas em lei, sua eliminação.

A afirmativa IV está incorreta por misturar competências efetivamente exercidas pela ANPD com uma atribuição que não lhe pertence. A autoridade possui funções de fiscalização, orientação e regulamentação da aplicação da LGPD, mas isso não significa que possa modificar a própria legislação. A alteração de uma lei depende do processo legislativo competente.

Assim, apenas as afirmativas I e III estão corretas.

Análise das alternativas

A) Incorreta.
A alternativa reúne I e II. A afirmativa I está correta porque reconhece a proteção especial destinada aos dados pessoais sensíveis. Entretanto, II está errada ao afirmar de forma absoluta que dados anonimizados não serão considerados pessoais mesmo quando for possível reverter a anonimização. A possibilidade de reidentificação impede essa conclusão automática.

B) Correta.
As afirmativas I e III estão corretas. A primeira trata adequadamente da proteção especial conferida a dados sensíveis, enquanto a terceira reconhece direitos do titular relacionados à confirmação do tratamento, correção, atualização e eliminação de dados nas situações previstas pela LGPD. Essa é a única combinação que reúne exclusivamente afirmações verdadeiras.

C) Incorreta.
Essa alternativa reúne justamente as duas afirmações problemáticas. A II apresenta uma compreensão inadequada da anonimização, pois ignora a possibilidade de reversão do processo. A IV, por sua vez, amplia indevidamente as competências da ANPD ao afirmar que ela pode modificar a legislação. Fiscalizar e regulamentar a aplicação da lei não equivale a possuir competência legislativa.

D) Incorreta.
Essa alternativa é um distrator particularmente plausível porque I e III estão corretas e grande parte da afirmativa IV também menciona atribuições efetivamente relacionadas à ANPD. O erro aparece no trecho final: a autoridade pode fiscalizar e regulamentar a aplicação da LGPD, mas não possui competência para alterar a lei propriamente dita. A inclusão de IV torna, portanto, toda a alternativa incorreta.

E) Incorreta.
A alternativa inclui III, que está correta, mas também II e IV, que são falsas. II trata a anonimização como irreversível para fins de caracterização do dado pessoal, enquanto IV confunde poder regulatório com poder de modificar a legislação. A presença dessas duas afirmativas incorretas invalida a alternativa.",Não,Finalizado
Questão 13,E,Nenhuma,Divergência com INEP,—,,Sim,Em revisão
Questão 14,C,Síntese B+C,Regular,ChatGPT + Gemini,"QUESTÃO 14 — Alternativa C
Comentário geral

A questão aborda a arquitetura de Von Neumann e exige distinguir seus princípios fundamentais de técnicas de otimização empregadas em processadores modernos.

A asserção I é verdadeira. A arquitetura de Von Neumann consolidou o conceito de programa armazenado, no qual instruções e dados são armazenados na memória e processados pela CPU. Apesar das inúmeras evoluções ocorridas desde os primeiros computadores — como memória cache, múltiplos núcleos, pipelines e diferentes níveis de paralelismo —, seus princípios continuam servindo de base conceitual para grande parte dos computadores de uso geral atuais.

A asserção II é falsa. Ela mistura uma técnica real de otimização dos processadores, a busca antecipada de instruções (prefetching), com características fundamentais da arquitetura de Von Neumann. A pré-busca permite antecipar instruções que provavelmente serão necessárias, mas é uma técnica de microarquitetura, e não um princípio definidor do modelo de Von Neumann.

Além disso, há um erro importante na afirmação de que a próxima instrução a ser executada está “normalmente armazenada nos registradores da CPU e não precisa ser buscada da memória principal”. Os registradores possuem funções específicas e capacidade muito limitada; as instruções de um programa permanecem no sistema de memória e são trazidas para a CPU por meio da hierarquia de memória, podendo estar previamente disponíveis em cache. Uma instrução efetivamente em processamento pode ocupar registradores internos, como o registrador de instrução, mas isso não significa que as próximas instruções do programa permaneçam normalmente armazenadas nos registradores.

Portanto:

I = verdadeira
II = falsa

Logo, a alternativa correta é C.

Análise das alternativas

A) Incorreta.
Para essa alternativa ser correta, I e II deveriam ser verdadeiras e II ainda teria de justificar I. Embora I seja verdadeira, II apresenta uma caracterização inadequada da arquitetura de Von Neumann. A pré-busca de instruções é uma técnica posterior de otimização e não uma propriedade fundamental que explique a permanência desse modelo arquitetural.

B) Incorreta.
Esta é uma alternativa plausível porque a asserção II menciona uma técnica real de otimização — a antecipação da busca de instruções. Entretanto, ela apresenta essa técnica de maneira inadequada ao associá-la diretamente à arquitetura de Von Neumann e ao afirmar que a próxima instrução normalmente se encontra nos registradores da CPU. A pré-busca de instruções é uma técnica de microarquitetura e não constitui um princípio fundamental do modelo de Von Neumann.

C) Correta.
A asserção I está correta porque os princípios fundamentais da arquitetura de Von Neumann continuam presentes como base conceitual de computadores modernos. A asserção II é falsa porque confunde técnicas modernas de antecipação e processamento de instruções com características constitutivas da arquitetura e, principalmente, apresenta de forma inadequada o papel dos registradores no armazenamento das próximas instruções.

D) Incorreta.
A alternativa inverte os valores lógicos corretos das proposições. A asserção I não é falsa: apesar das várias modificações introduzidas ao longo das décadas, o modelo de programa armazenado associado à arquitetura de Von Neumann permanece fundamental em sistemas computacionais modernos. A II, por sua vez, é que contém o erro conceitual.

E) Incorreta.
Não é correto considerar as duas asserções falsas. A primeira descreve adequadamente a permanência histórica e conceitual da arquitetura de Von Neumann. Portanto, mesmo que II seja falsa, a alternativa E não pode ser aceita.",Não,Finalizado
Questão 15,C,Síntese A+B+C,Regular,Gemini + Claude + ChatGPT,"QUESTÃO 15 — Alternativa C
Comentário geral

A questão aborda os papéis e responsabilidades no Scrum, especialmente as funções exercidas pelo Scrum Master e pelo Product Owner. O enunciado apresenta esses papéis como elementos de ligação entre a equipe de desenvolvimento e a organização e pede que se avalie se eles exercem também autoridade direta sobre a equipe.

A afirmativa I está correta. O Scrum Master tem entre suas responsabilidades ajudar a equipe a compreender e utilizar adequadamente o Scrum. Sua atuação é de facilitação, orientação e promoção da aplicação efetiva do framework. Portanto, afirmar que ele guia a equipe no uso efetivo do Scrum é compatível com seu papel.

A afirmativa II também está correta. O Product Owner mantém o foco no produto e no valor que deve ser entregue. Ele trabalha com prioridades e necessidades relacionadas ao produto, evitando que decisões essencialmente técnicas façam a equipe perder de vista os objetivos de negócio e as necessidades dos interessados. Em termos práticos, sua atuação está fortemente relacionada à definição e priorização do que deve ser desenvolvido.

A afirmativa III está incorreta. Nem o Scrum Master nem o Product Owner correspondem a chefes tradicionais da equipe de desenvolvimento. O Scrum não estabelece uma relação hierárquica de comando na qual esses papéis distribuam ordens técnicas aos desenvolvedores. A equipe possui autonomia para organizar a execução do trabalho, enquanto Scrum Master e Product Owner exercem responsabilidades específicas dentro do framework.

Portanto:

I = verdadeira
II = verdadeira
III = falsa

Logo, a alternativa correta é C.

Análise das alternativas

A) Incorreta.
A alternativa considera apenas II correta. De fato, o Product Owner deve manter o foco nos objetivos e no valor do produto, mas a afirmativa I também é verdadeira. Orientar e apoiar a equipe na utilização efetiva do Scrum faz parte da atuação do Scrum Master. Portanto, não é correto restringir a resposta somente à afirmativa II.

B) Incorreta.
A alternativa considera apenas III verdadeira, mas é justamente III que apresenta o erro conceitual central da questão. Scrum Master e Product Owner possuem responsabilidades importantes, porém isso não significa autoridade hierárquica direta sobre a equipe. O Scrum se distancia do modelo tradicional de gerente que comanda diretamente os desenvolvedores.

C) Correta.
As afirmativas I e II descrevem adequadamente os papéis do Scrum Master e do Product Owner. O primeiro auxilia a equipe a utilizar o Scrum de maneira efetiva; o segundo mantém o desenvolvimento orientado às necessidades e prioridades do produto. Já III é falsa porque esses papéis não constituem posições de chefia direta sobre os desenvolvedores.

D) Incorreta.
A alternativa combina I, que é verdadeira, com III, que é falsa. O Scrum Master efetivamente orienta a aplicação do Scrum, mas essa responsabilidade de facilitação não deve ser confundida com autoridade hierárquica. Da mesma forma, o Product Owner define prioridades relacionadas ao produto, mas não exerce comando técnico direto sobre a equipe.

E) Incorreta.
Esta alternativa pode funcionar como um distrator para quem interpreta Scrum Master e Product Owner como equivalentes a gerentes tradicionais. I e II estão corretas, porém a inclusão de III torna a alternativa falsa. O fato de esses dois papéis interagirem diretamente com a equipe e possuírem responsabilidades decisórias próprias não significa que tenham autoridade hierárquica ou poder de chefia direta sobre os desenvolvedores.",Não,Finalizado
Questão 16,B,A,Regular,ChatGPT,"QUESTÃO 16 — Alternativa B

Comentário geral

A questão trabalha com álgebra booleana e circuitos combinacionais. Para obter a expressão correspondente ao circuito, o procedimento mais seguro é acompanhar o caminho dos sinais, identificando a saída produzida por cada porta lógica.

As operações utilizadas são:

= porta OR (OU)
· = porta AND (E)
' = porta NOT (NÃO), isto é, negação.

No circuito apresentado, as entradas X₁ e X₂ passam inicialmente por portas NOT, produzindo X₁' e X₂'.

Em seguida, X₂' e X₃ entram em uma porta AND, cuja saída é:

X₃ · X₂'

Essa saída é combinada com X₁' por uma porta OR:

(X₃ · X₂') + X₁'

Por fim, todo o resultado da porta OR passa por uma porta NOT. Logo, a saída final do circuito é:

((X₃ · X₂') + X₁')'

Essa expressão corresponde à alternativa B.

Análise das alternativas

A) Incorreta.
A expressão (X₃ · X₂') + X₁' representa corretamente as etapas intermediárias do circuito: X₂ é negado, combinado com X₃ por uma porta AND e, posteriormente, esse resultado é combinado com X₁' por uma porta OR. Entretanto, a alternativa omite a última porta NOT, que atua sobre toda a saída da OR. Portanto, representa apenas o sinal imediatamente anterior à saída final.

B) Correta.
A expressão ((X₃ · X₂') + X₁')' reproduz exatamente a sequência das operações realizadas pelo circuito. Primeiro, X₁ e X₂ são negados, produzindo X₁' e X₂'. Depois, X₂' é combinado com X₃ pela operação AND, resultando em X₃ · X₂'. Esse resultado é combinado com X₁' pela operação OR e, finalmente, toda essa expressão é negada. Portanto, B representa corretamente todas as portas e a ordem em que elas atuam.

C) Incorreta.
A expressão ((X₃ · X₂)' + X₁')' posiciona incorretamente a negação. No circuito, X₂ é negado antes de entrar na porta AND, portanto o termo correto é X₃ · X₂'. Na alternativa C, primeiro ocorre a operação X₃ · X₂ e somente depois esse resultado é negado, formando (X₃ · X₂)'. Essas duas operações não são equivalentes. A posição da negação modifica a função booleana obtida.

D) Incorreta.
A expressão (X₃ · X₂)' + X₁' apresenta dois problemas. Primeiro, X₂ deveria ser negado antes da operação AND, produzindo X₃ · X₂'. Segundo, a negação final do circuito atua sobre todo o resultado da operação OR, e não apenas sobre o termo proveniente da AND. Assim, a alternativa posiciona incorretamente as negações do circuito.

E) Incorreta.
A expressão ((X₃ · X₂')' + X₁')' é semelhante à expressão correta, mas acrescenta uma negação que não existe no circuito. Após a operação AND entre X₃ e X₂', a saída é simplesmente X₃ · X₂'. Não existe uma porta NOT imediatamente após essa AND. A negação ocorre somente depois que esse resultado é combinado com X₁' pela porta OR. Portanto, a alternativa E introduz uma operação adicional inexistente no circuito.",Não,Finalizado
Questão 17,C,Síntese A+B+C,Regular,Claude + ChatGPT + Gemini,"QUESTÃO 17 — Alternativa C
Comentário geral

A questão aborda concorrência em Sistemas Operacionais, especificamente o problema da exclusão mútua em regiões críticas. Uma região crítica é a parte do programa em que um processo acessa dados ou recursos compartilhados. Para evitar condições de corrida, é necessário impedir que dois processos executem simultaneamente regiões críticas que manipulam o mesmo recurso. O próprio enunciado estabelece, entre as condições de uma solução adequada, que não se deve fazer suposições sobre a quantidade de CPUs do sistema.

A asserção I é verdadeira. Em sistemas com um único processador, a desabilitação temporária de interrupções pode ser utilizada pelo Sistema Operacional para proteger determinadas regiões críticas. Se as interrupções estiverem desabilitadas, a CPU não sofrerá uma interrupção de temporizador que provoque a troca para outro processo durante aquele trecho crítico. Entretanto, permitir que um programa de usuário controle livremente essa operação seria perigoso: um processo poderia desabilitar as interrupções e não reabilitá-las, comprometendo o funcionamento do sistema. Por isso, esse controle deve permanecer em nível privilegiado, sob responsabilidade do Sistema Operacional.

A asserção II é falsa. Sua primeira parte é plausível: desabilitar interrupções realmente pode impedir que a CPU que está executando uma região crítica seja interrompida. O erro aparece quando a afirmação conclui que a técnica seria mais eficiente em sistemas multiprocessadores. Em um computador com várias CPUs ou núcleos, desabilitar as interrupções de uma CPU não impede que outra CPU continue executando e acesse simultaneamente o mesmo recurso compartilhado. Portanto, essa técnica isoladamente não garante exclusão mútua entre diferentes processadores.

Assim:

I = verdadeira
II = falsa

Logo, a alternativa correta é C.

Análise das alternativas

A) Incorreta.
Essa alternativa considera I e II verdadeiras e ainda afirma que II justifica I. A asserção I realmente é verdadeira, mas II contém um erro fundamental ao afirmar que a desabilitação de interrupções é mais eficiente em sistemas multiprocessadores. Desabilitar interrupções em uma CPU não bloqueia a execução das demais CPUs. Portanto, II é falsa e a alternativa A deve ser descartada.

B) Incorreta.
A alternativa considera as duas asserções verdadeiras, apenas negando uma relação de justificativa entre elas. O problema continua sendo a classificação de II como verdadeira. Embora desabilitar interrupções possa impedir a preempção da CPU em que a região crítica está sendo executada, isso não fornece exclusão mútua entre CPUs diferentes. Logo, II é falsa, independentemente da relação lógica proposta entre as asserções.

C) Correta.
A asserção I é verdadeira porque a desabilitação de interrupções pode ser empregada pelo Sistema Operacional como mecanismo de proteção em determinadas situações, especialmente em sistemas com uma única CPU, e seu controle não deve ser disponibilizado livremente aos programas de usuário. A asserção II é falsa porque essa técnica não se torna mais eficiente em sistemas multiprocessadores: outras CPUs continuam capazes de executar e acessar os mesmos dados compartilhados.

D) Incorreta.
Essa alternativa considera I falsa e II verdadeira, invertendo os valores corretos. A afirmação I descreve adequadamente uma técnica conhecida de proteção de regiões críticas sob controle privilegiado do Sistema Operacional. Já II é falsa justamente porque generaliza a eficiência da desabilitação de interrupções para ambientes multiprocessados, nos quais ela não impede o acesso concorrente por outras CPUs.

E) Incorreta.
Não é correto considerar as duas asserções falsas. A asserção I descreve uma aplicação válida da desabilitação de interrupções em determinadas situações. O fato de essa técnica possuir limitações, principalmente em sistemas multiprocessadores, não torna I falsa. O erro está especificamente na asserção II.",Não,Finalizado
Questão 18,E,Síntese A+C,Regular,Gemini + ChatGPT,"QUESTÃO 18 — Alternativa E
Comentário geral

A questão aborda a diferença entre aprendizado supervisionado e aprendizado não supervisionado em Aprendizado de Máquina.

No aprendizado supervisionado, o modelo é treinado utilizando exemplos para os quais existe uma saída ou resposta conhecida. A partir desses exemplos, procura aprender uma relação entre as entradas e as respectivas saídas para posteriormente realizar previsões ou classificações sobre novos dados.

No aprendizado não supervisionado, por outro lado, não são fornecidos rótulos ou respostas esperadas. O objetivo é identificar estruturas, relações, agrupamentos ou padrões existentes nos próprios dados. Essa distinção é apresentada diretamente no texto-base.

A afirmativa I está correta. A regressão linear é um exemplo clássico de aprendizado supervisionado, pois o modelo é ajustado a partir de exemplos contendo variáveis de entrada e valores de saída conhecidos. O objetivo é aprender uma relação que permita estimar valores para novas observações.

A afirmativa II está incorreta. Para calcular um erro como a diferença entre uma saída desejada e uma saída gerada, é necessário conhecer previamente a saída esperada. Essa característica está associada ao aprendizado supervisionado. No aprendizado não supervisionado, em regra, não existe um valor-alvo conhecido fornecido para realizar essa comparação.

A afirmativa III está correta. O aprendizado não supervisionado é especialmente empregado quando se deseja descobrir padrões ou estruturas presentes em dados sem rótulos prévios, como agrupamentos de elementos semelhantes.

A afirmativa IV está correta. A partir do treinamento realizado com exemplos conhecidos, um modelo supervisionado busca aprender padrões que possam ser generalizados para novos dados, permitindo realizar previsões ou decisões sobre exemplos que não fizeram parte do treinamento. Isso não significa que todo modelo produzirá resultados sempre corretos, mas essa capacidade de generalização é justamente um dos objetivos do aprendizado supervisionado.

Portanto:

I = verdadeira
II = falsa
III = verdadeira
IV = verdadeira

Logo, a alternativa correta é E.

Análise das alternativas

A) Incorreta.
A alternativa inclui I e III, que estão corretas, mas deixa de incluir a afirmativa IV. A regressão linear pertence ao aprendizado supervisionado e a identificação de padrões é uma aplicação típica do aprendizado não supervisionado. Entretanto, também é correto afirmar que modelos supervisionados são treinados com dados conhecidos para posteriormente produzir previsões sobre novos dados. Portanto, A está incompleta.

B) Incorreta.
A afirmativa III está correta, mas II está errada. A existência de uma “saída desejada” pressupõe que exista uma referência conhecida com a qual a saída do modelo possa ser comparada. Isso caracteriza o aprendizado supervisionado, não o não supervisionado. Além disso, a alternativa omite I e IV, que também são verdadeiras.

C) Incorreta.
A alternativa inclui IV, que está correta, mas também inclui II, que é falsa. No aprendizado não supervisionado não há, em regra, uma saída desejada previamente fornecida para calcular diretamente a diferença entre o resultado esperado e o obtido. Além disso, I e III são verdadeiras e foram omitidas.

D) Incorreta.
I e IV estão corretas, mas a inclusão da afirmativa II invalida a alternativa. O conceito de erro definido pela comparação entre uma saída desejada conhecida e uma saída produzida está associado ao treinamento supervisionado. A alternativa ainda deixa de incluir III, que descreve corretamente a utilização do aprendizado não supervisionado na descoberta de padrões.

E) Correta.
A alternativa reúne exatamente as afirmativas verdadeiras. A regressão linear é um modelo de aprendizado supervisionado; o aprendizado não supervisionado pode ser utilizado para descobrir padrões e estruturas em dados sem rótulos; e o aprendizado supervisionado utiliza exemplos conhecidos para construir modelos capazes de generalizar para novos dados. A afirmativa II é a única incorreta, pois atribui ao aprendizado não supervisionado uma forma de cálculo de erro que pressupõe a existência de uma saída desejada conhecida.",Não,Finalizado
Questão 19,D,Síntese A+B+C,Regular,ChatGPT + Gemini + Claude,"QUESTÃO 19 — Alternativa D
Comentário geral

A questão trata do uso de personas e cenários na elicitação de requisitos. Essas técnicas são utilizadas para enriquecer a compreensão sobre usuários, objetivos, comportamentos e situações reais de uso, ajudando a transformar requisitos abstratos em representações mais concretas e contextualizadas. O próprio texto afirma que personas e cenários acrescentam detalhes realísticos, permitem explorar atividades atuais e futuras dos usuários e podem orientar o desenvolvimento ao longo do ciclo de vida do produto.

A afirmativa I está correta. Personas e cenários ajudam a tornar explícitas situações de uso, necessidades e comportamentos que podem permanecer apenas implícitos em uma descrição inicial de requisitos. Ao representar usuários e situações concretas, essas técnicas favorecem a descoberta e o detalhamento de aspectos que poderiam passar despercebidos.

A afirmativa II está correta. Ao utilizar cenários de uso e perfis representativos de usuários, o projetista consegue visualizar como determinadas decisões de projeto podem afetar a experiência, as tarefas e os objetivos do usuário. Assim, essas técnicas ajudam a avaliar melhor as consequências das decisões tomadas durante o desenvolvimento.

A afirmativa III está incorreta. Personas e cenários não são técnicas destinadas à especificação formal e não ambígua de requisitos. São predominantemente recursos descritivos, narrativos e contextualizadores. Eles ajudam a compreender e comunicar requisitos, mas não substituem técnicas formais de especificação utilizadas quando se deseja precisão sintática, semântica ou ausência de ambiguidade.

A afirmativa IV está correta. Uma das vantagens dessas técnicas é justamente manter a equipe orientada para os usuários reais do sistema. Personas representam características, objetivos e comportamentos de usuários, enquanto cenários mostram situações de uso. Isso reduz o risco de que o desenvolvimento se torne excessivamente abstrato ou centrado apenas em aspectos técnicos.

Portanto:

I = verdadeira
II = verdadeira
III = falsa
IV = verdadeira

Logo, a alternativa correta é D.

Análise das alternativas

A) Incorreta.
A alternativa inclui I, que está correta, mas também III, que está incorreta. Personas e cenários realmente podem revelar situações implícitas nos requisitos, porém não produzem, por si só, uma especificação formal e livre de ambiguidades. O erro está em atribuir a essas técnicas uma finalidade de formalização que não corresponde ao seu papel principal.

B) Incorreta.
As afirmativas I e IV estão corretas, mas a alternativa é incompleta porque exclui a afirmativa II. Personas e cenários não servem apenas para explicitar situações e lembrar que pessoas reais usarão o produto; também ajudam o projetista a avaliar o impacto das decisões de projeto sobre esses usuários.

C) Incorreta.
A afirmativa II está correta, mas III está errada. Além disso, a alternativa omite I e IV, que também são verdadeiras. O uso de personas e cenários contribui para a análise das decisões de projeto, mas não deve ser confundido com uma técnica formal de especificação de requisitos.

D) Correta.
As afirmativas I, II e IV descrevem adequadamente os objetivos do uso de personas e cenários. Essas técnicas ajudam a revelar aspectos implícitos dos requisitos, permitem compreender melhor os efeitos das decisões de projeto e mantêm o foco da equipe sobre pessoas reais e suas necessidades. A afirmativa III é a única incorreta.

E) Incorreta.
A alternativa inclui II e IV, que estão corretas, mas também III, que é falsa, e ainda exclui I, que é verdadeira. O principal erro permanece a associação indevida entre personas e cenários e uma especificação formal e não ambígua de requisitos.",Não,Finalizado
Questão 20,A,Síntese A+B+C,Regular,Claude + ChatGPT + Gemini,"QUESTÃO 20 — Alternativa A
Comentário geral

A questão aborda algoritmos de busca em vetores, comparando uma busca sequencial com uma busca binária, além de exigir a identificação do uso de recursividade.

O vetor utilizado no programa é:

1, 3, 5, 7, 9, 11, 13, 15, 17, 19

Como os índices em C começam em zero, seus elementos ocupam as posições de 0 a 9. Portanto, o valor 15 está no índice 7.

A função funcao1 percorre o vetor sequencialmente desde a posição 0 até encontrar o valor procurado. Ao procurar 15, encontra-o na posição 7 e retorna 7.

A funcao2, por sua vez, implementa uma busca binária. Na primeira chamada:

intervalo: 0 a 9;
posição central: (0 + 9) / 2 = 4;
vetor[4] = 9.

Como 15 é maior que 9, a busca continua na metade direita, entre as posições 5 e 9.

Na chamada seguinte:

intervalo: 5 a 9;
posição central: (5 + 9) / 2 = 7;
vetor[7] = 15.

O valor é encontrado e a função retorna 7.

Assim, a impressão realizada pelo programa é:

7 - 7

Portanto, a afirmativa I é verdadeira.

A afirmativa II é falsa. A funcao1 implementa busca sequencial, que no pior caso pode precisar examinar todos os elementos do vetor, apresentando complexidade O(n). A funcao2 divide repetidamente o intervalo de busca pela metade e, para um vetor ordenado, possui complexidade O(log n). Assim, no pior caso, a busca binária é assintoticamente mais eficiente que a busca sequencial.

A afirmativa III também é falsa. A funcao2 não implementa uma estratégia iterativa. Ela realiza novas chamadas a si mesma nas linhas em que retorna funcao2(...). Isso caracteriza uma implementação recursiva da busca binária.

Portanto:

I = verdadeira
II = falsa
III = falsa

Logo, apenas I está correta.

Análise das alternativas

A) Correta.
Somente a afirmativa I é verdadeira. Tanto funcao1 quanto funcao2 encontram o valor 15 no índice 7 do vetor, fazendo com que a saída seja 7 - 7. A afirmativa II é falsa porque a busca binária possui melhor complexidade no pior caso que a busca sequencial, e a III é falsa porque funcao2 utiliza chamadas recursivas.

B) Incorreta.
Essa alternativa considera apenas III correta. Entretanto, funcao2 não utiliza uma estrutura de repetição para realizar sucessivamente a divisão do intervalo. Em vez disso, a própria função chama novamente funcao2 com novos limites. Portanto, sua estratégia é recursiva, e não iterativa. Além disso, I é verdadeira.

C) Incorreta.
A afirmativa I está correta, mas II está errada. A funcao1 realiza uma busca sequencial e, no pior caso, precisa verificar até n elementos. A funcao2, ao realizar busca binária sobre o vetor ordenado, reduz aproximadamente pela metade o espaço de busca a cada chamada. Assim, não é correto afirmar que funcao1 seja mais rápida no pior caso.

D) Incorreta.
As duas afirmativas incluídas nessa alternativa são falsas. A busca sequencial da funcao1 não apresenta vantagem assintótica sobre a busca binária da funcao2 no pior caso. Além disso, a funcao2 é recursiva, pois chama a si mesma com intervalos progressivamente menores.

E) Incorreta.
Embora I seja verdadeira, II e III são falsas. A funcao1 possui complexidade O(n) no pior caso, enquanto a busca binária implementada por funcao2 possui O(log n), considerando o vetor ordenado. Além disso, funcao2 é uma implementação recursiva, e não iterativa. Logo, não é possível considerar as três afirmativas corretas.",Não,Finalizado
